title,comment,tags,date
bloodpressure meds and anxiety,"
			    Every single blood pressure med I have tried has created me to have anxiety. The one I am on now is suppose to help with anxiety but for me, it does not. My Dr. does not believe it is the BP meds which is causing my anxiety. I know it is as I was off of them for a few days and the anxiety went away and when I went bk on them it returned. I know I need them but is there anyway around this ?
			","High Blood Pressure
		        		            ","
				    				    over 1 year ago
				"
Hypertrophic Obstructive Cardiomyopathy,"
			    Are there any of you out there that have this condition also?
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Hypertrophic Cardiomyopathy,"
			    I found out 4 years ago that I have this genetic condition and dr. has put me on Beta blocker tablets. I would like to know will it damage more if I don't take tablet and manage my situation by not raising my heartbeat with any kind of cardio or hill walk.
			","Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Is there something wrong?,"
			    To start off, I’m a male teenager who eats incredibly unhealthily all the time, and I’m pretty sure I’m malnourished, so yeah. My feet are slightly purple or slightly red when sitting, when I stand up from a sitting or lying position at a decent speed, my eyes go black and I get lightheaded, and I’m pretty sure I suffer from hyperventilation syndrome. Is there anything wrong?
			",NA,"
				    				    over 1 year ago
				"
Concern,"
			    My systolic blood pressure is between 110-125 but my diastolic is always in the 80's, even with low salt diet snd exercise it hardly ever decreases. My resting HR is low 80's. Should I be concerned or take BP meds??
			","High Blood Pressure
		        		            ","
				    				    over 1 year ago
				"
Rapid heart beat when standing,"
			    Hello, I am a 24 year old female and lately I noticed my heart rate increases a lot when standing up or walking casually. When I am laying down my heart rate is around 65 bpm and when I stand up and start walking around the house it goes to 150-160 bpm. When I go out and walk for about 10 mins I start getting really sweaty and feel hot, and sometimes I'm completely out of breath. Ive been told couple years ago by my GP that my blood pressure drops when I stand up. Could this be heart failure....
			","Exercise
		        		        		            Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Please help,"
			    I am 32 years old and I already got an EKG and echo done for my heart and everything seems to be fine. But lately I getting some chest pain around my left side and my left arm has been hurting for a few days now. Can someone please tell me if I should be worried.
			",NA,"
				    				    over 1 year ago
				"
Low o2,"
			    I am a 55 year old female. I have done a sleep study and did not need a CPAP but needed O2. I am to wear 2 liters at night but it makes my nose bleed even with the water attachment. I just did a breathing study at the hospital and it came back normal, but my O2 meter reads that I can drop in the low 80s while sitting. I do have HBP. I am not sure what test I need to discuss with my doctor or why my O2 is dropping. I hope you can guide me so I can speak to my doctor.
			",NA,"
				    				    over 1 year ago
				"
Heart Palpitations with a normal heart rate,"
			    Hi I am a 48 year old perimenopausal female. What type of palpitations occur that make you cough? I cough every time I have a palpitation. I also check my heart rate when this occurs and it's normal, 72 beats per minute. I thought when you were having palpitations, your heart rate would increase?
			",NA,"
				    				    over 1 year ago
				"
propranolol and mucinex dm,"
			    Hi I have acute bronchitis and I am wondering if Mucinex Dm is safe to take along with my propranolol.
			","High Blood Pressure
		        		            ","
				    				    over 1 year ago
				"
Is something wrong or am I just fat?,"
			    First off, I will say I am a morbidly obese, 25 yr old female. I weight about 285lbs and am only 5'4"". I do have known issues with acid reflux and I had a stomach ulcer within the last year and esophagitis? I am trying to eat better and less, but still I struggle. Recently, since around January, I have been having strange chest pains. My left side of my chest hurts almost every day, some days it doesn't though, but those days are rare. My left arm has an uncomfortable pain aswell.......
			","Exercise
		        		        		            Diet
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
LBBB and Pulmonic Insufficiency,"
			    I have been diagnosed with both a left bundle branch block and pulmonic insufficiency. I am wanting to know can one effect the other and if I should be concerned that something could happen to me if it goes untreated. I am now 46 years old and not in the best shape.
			","Heart Disease
		        		            ","
				    				    over 1 year ago
				"
News: Eat Fish Twice a Week to Ward Off Heart Disease,"
			    The best choices are oily fish with large doses of omega-3 fatty acids. The options include salmon, albacore tuna, mackerel, lake trout, herring and sardines. Click here to read more: https://wb.md/2JfGMVC Share your thoughts! What are your favorite heart healthy recipes?
			","Exercise
		        		        		            AFib
		        		        		            High Blood Pressure
		        		        		            Diet
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    over 1 year ago
				"
Heart rate jumps when I stand up.,"
			    My heart goes from 70s to 110 as soon as I stand up. Because of this I stay in the bed for the last week. I had a mri I think its called to check my heart and other things. Nothing came back. I had my blood tested checking heart and nothing came back. A xray and nothing came back. Any help?
			",NA,"
				    				    over 1 year ago
				"
Belching-induced PACs?,"
			    59 year old man. History of PACs that weren't noticeable to me -- just showed up sometimes on annual physical exam EKGs. I burp when nervous, and was successfully treated for GERD so bad that I had an erroded esophagus -- healed now. When I drink carbonated ANYTHING and burp, I get PACs each time I burp. Doesn't matter whether drink is caffeinated or not -- soda water does it too. BP is high when PACs happening, but Dr. says that is due to the early beats spiking the pressure. Just starting....
			",NA,"
				    				    over 1 year ago
				"
Multiple high blood pressure meds,"
			    I take Losartan 100mg, amlodipine 10 mg, Metoprolol 75 mg, and HCTZ 25 mg daily. I take my medications religiously and yet my blood pressures are running very high. Today I had to leave work early because my BP was 236/122 and my vision in my right eye was very distorted. I can't take an Ace inhibitor because it makes me cough severely. I have taken clonidine and valium in the past and it helped but I think my current doctor doesn't want to try this. I don't want to have a stroke and....
			","High Blood Pressure
		        		            ","
				    				    over 1 year ago
				"
54 y/o female dangerous symptoms blood test results included plz help my Mom,"
			    [IMG] i63.tinypic.com/.../IMG] [IMG] i67.tinypic.com/.../IMG] Summary of symptoms for anyone who cannot or does not want to read the detailed symptoms: *I have taken her to ER twice the first time they checked her heart and said nothing came up. The 2nd time 2 days ago they did a d-dimer, contrast CT and sent her home!! I asked them to scan her brain they didn’t and they only put Diagnosis of coughing up blood - she complained of right leg Charlie horses and they did not even check for a blood clot....
			","AFib
		        		        		            High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    over 1 year ago
				"
Blood pressure,"
			    Anyone know if ibuprofen or acetiminophen increases blood pressure. Also take folic acid and fish oil for hearth health. I had high blood pressure but take these daily. I'm trying to get it lower to make a few bucks donating plasma. It was 15x/9x and needs to be under 180/90 the clinic said so I was denied during the screening. Any ideas I'm going to stop taking the pain medicine and try couple days later. I usually test 12x/8x. Anyone know a good way to to lower the bottom number?
			","High Blood Pressure
		        		            ","
				    				    over 1 year ago
				"
Scar Pain,"
			    I had bypass surgery 4 years ago with complications on the incision. Now suffering daily with pain in the breast area and the incision. I took a fall about 4 weeks ago landed hard on my chest,could that be the cause.
			","Heart Attack
		        		            ","
				    				    over 1 year ago
				"
Aortic Stenosis diagnosis I'm freaking out,"
			    I'm 63 yr old female with medical history of high cholesterol & HBP. For the past few yrs whenever someone takes my BP, my pulse is always high, slightly over 100. Never thought much of it, felt fine & my primary Dr didn't mention it either. Last Sept I had a total knee replacement & everytime nurses would take my myBP they would mention the pulse being fast. So in April I went to my Dr & mentioned it to him, he did an EKG which was fine except it showed the rapid pulse. So....
			","High Blood Pressure
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    over 1 year ago
				"
squats causing veins?,"
			    i’ve recently started to do 100 squats a day and i’ve started noticing bluish veins on my thighs. is it because of the squats? is there a way i could continue to do squats without the veins getting worse?
			",NA,"
				    				    over 1 year ago
				"
Arrythmia caused death,"
			    My son died suddenly at almost 23 yrs of age. The coroner found asolutely nothing in the autopsy. He told my counselor that after conferring with other coroners that he felt his death was due to heart arrhythmia. His death certificate says “undetermined” because the coroner cannot prove that was the cause because an episode of arrhythmia doesn't leave any signs or cause damage that can be seen. He also told her that he felt that even if I would have been there, it would not have helped because....
			","Heart Failure
		        		            ","
				    				    over 1 year ago
				"
Broken Heart Syndrome: Can You Die of a Broken Heart?,"
			    We discuss broken heart syndrome, a condition that occurs when stress and a troubled mind affect the heart causing symptoms that can mimic a heart attack: https://wb.md/2Iqp4yy . Share your stories! Can someone really die of a broken heart?
			","Exercise
		        		        		            AFib
		        		        		            High Blood Pressure
		        		        		            Diet
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    over 1 year ago
				"
ICD Battery Zero - Will it have any adverse impact?,"
			    I had an ICD for last 10 years following MI and low ejection fraction-30%. It was installed as a precaution. Even though my EP report was negative. It never fired in last 10 years. My ejection fraction has since improved above 40% and I am doing very well. Now the battery life is approaching zero. I do not want to get the ICD replaced. Will I have any problem letting the ICD remain installed with battery fully discharged?
			",NA,"
				    				    over 1 year ago
				"
Chest irritation help...,"
			    I am a 36-year-old male who has been recently having chest, stomach and back pains. I actually went to the emergency room about a week ago because I was so nervous about this. 3 days prior to going I had lifted twenty two 40 lb soil bags multiple times to and from my home. I am pretty sedentary and not used to physical exhertion. I had pain going down my left arm and chest area so that was the most concerning to me. When I got there they took blood ran EKG and checked my blood pressure a couple times....
			","Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Exercise with Bicuspid Aortic Valve(BAV),"
			    I was recently made aware that I have BAV (probably since birth). The doctor said that functionality of the heart is normal with MILD regurgitation. ECG and Stress test was normal. I workout regularly, mainly heavy lifts on compound exercises, between 5-8 reps, depending on the exercise. After reading online I realize this might be a problem although my cardiologist said no lifestyle changes and to lower the weight so that I can do 10 reps without over doing it. I’m asking if anyone has experience....
			","Exercise
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Can I safely take Benadryl for sleep,"
			    Heart diease & Sleep(Diphenhydramine)? Thanks
			","Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Need info on a heart med,"
			    So my mother-n-law is currently living with us till we can find a rest home for her. I am in charge of giving her her meds and one of the meds is Amiodarone HCL 200mgs. Q.D. Now do I need to check her B/P? And what would be a holding B/P?
			",NA,"
				    				    over 1 year ago
				"
Heart palpitations with high blood pressure and back pain during menstrual cycle...,"
			    This has been an ongoing issue for half a year now. During every other two or so periods I begin to develop heart palpitations, high BP, back and arm pain, and my anxiety sky rockets. I’ve been to the emergency room so many times for them to tell me nothing is wrong and send me off. Recently I’ve had my worst attack yet. I began getting the heart palpitations. They went from a fast jack rabbit beat to just hard thumping. That spiked my anxiety which didn’t help matters. I was taking ALLEGRA D which....
			","High Blood Pressure
		        		            ","
				    				    over 1 year ago
				"
CHANGING BLOOD PRESSURE - CHEST PAIN,"
			    Have been having frequent chest pain and changing blood pressure: Highs of 200/110 and lows of 120/60. The highs coincide with headaches chest pain and forgetfulness. Constantly tired and have little clarity in thought(it's hard to think). I have had forgetfulness for nearly a decade. Was diagnosed with hypertension in 2014. Sinus arrhythmia in 2017. I am taking 100 mg of Losartan Potassium once daily and Propranolol 40mg twice a day. Tested negative for sleep apnea.
			","High Blood Pressure
		        		            ","
				    				    over 1 year ago
				"
"Help, what is this sensation?","
			    Every time I use the restroom I feel an adrenaline rush, or a blood pressure drop,and my heart beats faster than usual, until im done urinating. I don't faint.
			",NA,"
				    				    over 1 year ago
				"
CHEST PAIN,"
			    I have been having pains in my chest and also my left upper back by my shoulder blade. Can the back pain also mean something is going on with my heart?
			",NA,"
				    				    over 1 year ago
				"
am interested in better health,"
			    all for better health!!!!
			","Exercise
		        		        		            AFib
		        		        		            High Blood Pressure
		        		        		            Diet
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    over 1 year ago
				"
"Chest pains, family history of heart issues","
			    im a female teenager, 17. ive been having random severe chest pains for a few months, around 5-7 times a month, but lately its worse. maybe 2-3 times a week. last week, i had severe pain in left side of chest and down left arm with tingly feeling and loss of breath for about 10 minutes. mom says its just heartburn but it has occured when not eating or drinking and ive never had heartburn before, my dad and sister have it, not me or my mom. also, my mom's dad had several heart attacks and just....
			","High Blood Pressure
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Spells after triple bypass surgery,"
			    My husband had triple bypass surgery 8 months ago. In the last 3 months he has had two episodes of cold sweats, shortness of breath and weakness. The first time he was rolling a barrel up a hill and the second time he was trying to hurry to complete a chore he was doing. He has seen his heart doctor and had his arteries in his neck checked for blockage, they were ok. I didn’t know if these spells are to be expected since it’s only been 8 months or if we need to see his doctor again. Thank you.
			",NA,"
				    				    over 1 year ago
				"
"54 year old female, obese, anxiety, panic, depression. No other known illness.
I worry everyday about having a heart attack.","
			    I have a strong family history of heart disease, the last week I'm feeling pain in left arm , elbow , shoulder, my neck stays tense but I wake up everyday worrying if I'm having a heart attack, stress test 2-3 years ago was normal, BP went to 199 top number but cardiologist didn't think anything. I go to doctor and am always told it's just anxiety and EKG couple months ago normal. Last year blood work normal. I feel like something is wrong but last time doctor refused to do EKG said....
			",NA,"
				    				    over 1 year ago
				"
"High blood pressure, low pulse, anxiety","
			    I've had untreated high blood pressure recorded in my medical history starting at the age of 15. I'm now 23 years old and have high blood pressure, low pulse rate, and anxiety (usually 135/90 BP, sometimes slightly over 160/110 in medical setting, pulse: ~50. I've been diagnosed with a septal atrial defect and a slightly dilated right ventricle. I've had stress echo-cardiograms, regular contrast echo-cardiograms, and a bubble study echo-cardiogram performed, these diagnostic tests....
			","High Blood Pressure
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Nuclear Stress test,"
			    My test findings state: small inferoapical defect on rest and stress. Physiologic septal thinning towards cardiac base. What does this mean?
			",NA,"
				    				    over 1 year ago
				"
Depression following 3x bypass and 3x stints,"
			    I am really writing for my son, who is 45 and had to have triple bypass and 3 stints, all within one month last year. While he has made a FULL recovery, back to work, lifestyle changes that are nothing short of amazing, He suffers terribly from depression. I understand his feelings and why, due to me having symptoms of heart problems when I was his age, only I finally was diagnosed as having tremendous stress and no heart issues. My depression lasted over three years and three thallium stress tests....
			",NA,"
				    				    over 1 year ago
				"
Night Terrors,"
			    My husband recently started getting night terrors to the point where I am scared. He will walk around act like he is awake but is afraid and if he gets startled in any way he will start throwing punches. His night terrors only come on after he has had to much to drink and has pasted out from his heart. My husband has an irregular heart beat and it beats faster than normal when his heart beat drastically decreases from HIS average bpm it causes him to pass out and he will regain consciousness after....
			",NA,"
				    				    over 1 year ago
				"
Breath Smells like Vomit,"
			    Just wondering what could cause my husbands breath to smell like vomit? It doesn't always smell like vomit probably at least once or twice a week and it doesn't matter what he eats it will still smell like vomit. He can also do brush his teeth and I can still smell vomit. He has had ulcers and hpalory in the past, and he does have an irregular heart beat and his heart beats way faster than the average person.
			",NA,"
				    				    over 1 year ago
				"
Midrodrine together with BP meds,"
			    The cardiologist says that my father has congestive heart failure. According to tests that HE did, my father's EF is 25%. the year before it was 65%. My father is 93 and is physically active doing gardening and yard work. The doctor put him on metoprolol and losartan. However, this lowered his BP to dangerously low levels to the point where my father went from being lucid to being totally demented. The doctor then gave him midodrine on top of the BP meds to raise his BP back up to where his mentation....
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Pulmonary Embolism or Stress,"
			    20 yo female, previous history of kidney disease and hypertension, both well controlled via surgery and Lisenopril prescription (BP usually 110/65). Currently on Lutera-28 birth control as approved by my doctor (0.02mcg estrogen). So I'm pretty sure I'm totally being a hypochondriac here (pre-med), but about a hour ago I got a pain in my left chest area when breathing in. It isn't that bad anymore but is still there a little bit. I've had 2 microbiology exams today and have an organic....
			","High Blood Pressure
		        		            ","
				    				    over 1 year ago
				"
About HF,"
			    I noticed for the past 2 months that my left foot and leg sweel up. I ask my heart dr and he said I dont know. In the past 4 days it is more sweeling, I'm very exhausted and have trouble breathing at times. I just want to sleep. Im a diabetic also and have treated blood pressure.. Is it possible that just one side can have sweeling and be HF. I hope i explained this right. My dr office is shut down for a week so which would be better to go to Urgent care or the Emergencey room
			","Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Chest burning and odd numbness/sweeling in lower legs,"
			    Hello. I am a 31 year old male and have been experiencing odd bouts of severe chest burning/pain that come every few days. It intensifies if I lay on my side or sit. I am unemployed so I end up sitting for a lot of my time. To help fix this I have been going for 2-3 hour walks each day. Since I've started walking however, I have been getting strange numbness and swelling in my lower legs and feet. I am in constant discomfort but the doctor I am seeing writes it off as anxiety and really doesn't....
			","Exercise
		        		        		            AFib
		        		        		            High Blood Pressure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
Recurring Uncontrollable Spasms and Weak Heart,"
			    Dear all of WebMD, Just an introduction : I am an undergraduate in Singapore, with a girlfriend experiencing a recurring medical condition. I am writing to seek help and advice from anyone who knows what the problem is. Basically she is experiencing: Uncontrollable spasms from her abdomen The spasms worsen when she is feeling discomfort such as migraines, menstrual cramps The spasms will cause her heart to feel weak She has seen many G.Ps in the past but she was diagnosed as being stressed and given....
			",NA,"
				    				    over 1 year ago
				"
Update of my CAD status,"
			    I had my angiogram taken on 2014 , findings were , 1 vessel 100% CTO , second vessel 70-90% clogged , third vessel 80-90 % clogged. This March 2018 my 2D echo is normal ( EF 69 ) , my lipid are ( ldl 100, hdl 38, total cholesterole 202, trig 280) , Fbs normal, kidney function normal , lever fnction slightly elevated SGPT, uric acd normal. I'm on amlodipine 10mg , vastarel 35 mg 2x daily, telmisartan 40 mg , lanoxin .125mg for almost a year now. Chest XRay normal. Question. 1) Is my CAD been reversed....
			",NA,"
				    				    over 1 year ago
				"
Possible shock/low bp,"
			    What’s up doc, I’ve recently switched from Clonidine to guanfacine (I’m 27-yr-old female at a normal weight and tend to have low BP—I take it to manage insomnia, nausea, and other issues) and since switching to guanfacine I have been nauseous and barely sleeping. Because of this I went up too quickly on guanfacine and I realize now that was a terrible idea. It felt like nothing was happening until the 2nd night in a row that I took 2 tablets and then my blood pressure apparently dropped a lot more....
			",NA,"
				    				    over 1 year ago
				"
"Primary hypertension, bradycardia and tachycardia","
			    I am a 46 year old male. Around 10 months ago, I was at my GP for a follow up on an unrelated test when the nurse took my BP. It was 190/100. They were alarmed, took my BP 3 more times with different cuffs with the same result. She had me monitor my pressure for a week. It stayed super high. I had been having headaches for about two weeks prior as well. Eventually, she started me on lisinopril and HCTZ. Soon, I began having dizziness and near syncope. My pulse was now ranging from 65 resting to 140....
			",NA,"
				    				    over 1 year ago
				"
CONGESTIVE HEART FAILURE WITH A 10 - 15 % EJECTION FRACTION,"
			    I am a 50 male 5 Ft. 10 in tall weight 190 lb. i have had CHF for 3 1/2 years i have had 2 heart attacks my E.F. has been around 15% until this year and now is 10% to 14% im tired almost all the time . I took a stress test a month ago with chemical not the treadmill . the test showed a reversible prefusion defect in the inferior and apical segment of the left ventricle. I was also told i have a severe cardiomyopathy . Diagnosis CARDIOMYOPATHY 10% - 14% EF. They say i need a heart transplant , but....
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 1 year ago
				"
How many stents before bypass is needed,"
			    I am wondering how many heart stents can I get before bypass open heart should be done?
			","High Blood Pressure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    over 1 year ago
				"
Is it safe to sleep? (HR at 39bpm right before sleep),"
			    hello! i have extraordinarily bad anxiety, so I’m wondering if this is something I should worry about. I’m honestly terrified to sleep because my brain thinks my heart will stop? I don’t have any history of heart disease. My resting heart rate is generally in the low 50s. When I sleep, it’s dipped as low as 41. A few hours ago as I was literally falling asleep I saw it at 39. Ive recently lost about 100lbs (started at 340,) so maybe that has something to do with it. I was doing 30min of some kind....
			",NA,"
				    				    over 1 year ago
				"
Could a sudden nosebleed mean something serious for the heart?,"
			    Hello! My father is a 50 year old man who had a sudden nosebleed today. He was sitting outside on a nice, cool evening, and blood just started pouring out of his nose. I asked him when this last happened, and he said it was 14 years ago - when his heart started to fail. He got surgery to fix the mitral valve prolapse that was causing the failure, and as far as we know he has no problems. He does have a history of high blood pressure, and his father died at age 61 of heart enlargement. Could a sudden....
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Heart rate irregularities,"
			    I’ve been having a heart rate of 40-210 for the last few months. It changes within seconds from very low to very high. I’ve passed out twice. My legs itch and the corners of my mouth get raw. I have been getting chest pain. I constantly feel dizzy. It gets hard to breathe when talking sometimes. I’ve been to doctors and a heart doctor. They don’t know what’s wrong. It stopped completely for a week and a half but it’s back now. What’s wrong??? Please help!!!
			",NA,"
				    				    over 2 years ago
				"
"Help! I don't feel right!  Stress Test, PVC'S, LPFB, Low Ejection Fraction.","
			    I had a Stress Test done and would really appreciate some help trying to understand some results. I understand that I need to go over them with him and I have that scheduled. Was just wondering if anyone diagnosed with the same things as me has any info to share :) Background on me: 27 year old female 117 pounds, 5ft 6in Recent chest pains, shortness of breath, chest pressure (like elephant on chest) and dizziness. Blood pressure is all over the place. Strong family history of early heart problems....
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Pacemaker,"
			    Silly question... I know someone who said it Is possible to have a pacemaker removed after having one and still live. Is it possible that after having a pacemaker/defibrillator of 11 years to have it removed and not need it any more?
			","Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Heart? Esophagus? Please Help If You Can,"
			    -started having panic attacks in high school -I’m 26 now -have been diagnosed with Generalized Anxiety Disorder -6 feet tall, 380 lbs (but working on it) -have had a myriad of bizarre physical manifestations of anxiety over the years, from nerve zaps to GERD-like symptoms -endoscopy years back ruled out GERD (but it was long ago) -EKG/24-hr monitor etc cleared my heart (but also a long time ago) -have an obsessive and often irrational fear involving my heart -this would all lead one to believe the....
			","Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Diastolic Heart Failure,"
			    What is Diastolic Heart Failure? I just got out of hospital from this
			","Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Heart,"
			    What is nonschemic cardiomyopathy?
			","Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Blood Pressure & Pulse Monitor,"
			    I would appreciate information and recommendations regarding fitness bands that monitor blood pressure and pulse rate. Something that works well and can download to my pc.
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Feeling terrible from lowered bp after incredibly high bp for years,"
			    Long post coming up - sorry! I'm a female & 46 years old. On February 2 I went to the ER because I was losing vision in my right eye. I was terrified. They discovered that my blood pressure was 270/150. They treated me, got the bp down a little and sent me home (crazy!). I visited an eye doctor that day and he said that I had suffered an eye stroke in my right eye due to uncontrolled high blood pressure. Back story, I'd been diagnosed with high bp about eight years ago but quit taking....
			","High Blood Pressure
		        		            ","
				    				    over 2 years ago
				"
Extremely high blood pressure with seizure and no history of HiBP,"
			    I'm a 56 yr old female. History of alcoholism and intermittent abuse of drugs besides alcohol. About 18 months ago my left arm went ""numb"". I lost strength in it and it tingled yet I lost most of the feeling in it. At this same time my bladder was not responding when I tried to push urine out. These things lasted 2--3 weeks. Then about one year ago I had this bizarre feeling that I only had partial control of my muscles. I could walk but but I just did not feel normal. I was admitted....
			",NA,"
				    				    over 2 years ago
				"
Chest fluttering,"
			    I am a 62yo male that is in good physical condition. When I sleep at night I developed a flutter in my chest that happens 6-10 times a night usually in the middle of the night. My carotid pulse is normal and I can actually feel the fluttering by placing my hand over my heart. This never happens during the day. I wore a 24 hr heart monitor that picked up an occasional extra beat that I have had my whole life but caught nothing of the flutter. Any help would be greatly appreciated. Thanks Phil
			",NA,"
				    				    over 2 years ago
				"
can asthma effect heart health,"
			    Is it possible for asthma to cause heart problems?
			",NA,"
				    				    over 2 years ago
				"
Drug interaction,"
			    I take a low dose of Blood Pressure medication...5mg of Bisoprolol. I am interested in taking Krill oil and wondered if they will interact with one another. I take fish oil, but I’ve read krill is better.
			","Exercise
		        		        		            High Blood Pressure
		        		        		            Diet
		        		            ","
				    				    over 2 years ago
				"
Heart/Kidney/Liver Transplant for 3 yr old daughter,"
			    Hi I have a 3 year old daughter named Penelope. She was born with Cardio Myopathy and Kidney Dysplasia. She has had 2 open heart surgeries so far. She is currently on the waitlist for a heart, kidney, and liver transplant. She has been on the waitlist for months. Time is running out for her. Penelope doesn't have much time to live. My husband just passed away 2 days ago in a car accident due to brain trauma. I was wondering if its possible that he can be the donor for my 3 year old daughter's....
			","Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Any new treatments for syncope in the last 10 years?,"
			    I had a fairly sever syncopal episode ten years ago. I had a complete cardiac work up. I went through a number of tilt tests. I was put on at least six different meds and given tilt tests to see if the meds were helping. None of the meds helped, but many of them had harsh side effects. With Theophylline for example, my heart rate was running about 30 beats per minute faster than normal, I felt like I was burning up most of the time and I could only sleep about 2 hours a night. I lost ten pounds in....
			",NA,"
				    				    over 2 years ago
				"
Endomyocardial Fibrosis,"
			    I am 51 years old man, originally from Congo/Drc. Presented to Steve Biko Academic Hospital file no: GT63966354, was admitted On the 14th February 2014 for 6 month and discharged on the 27th August 2014 The medical exams and diagnostics from SBAH was done and the result states that the Applicant developed a Cardiac Failure and artrial flutter. He also gives a previous history of a previous CVI and embolism into his left and right atria. The myocardium appeared specked. A cardiac MRI was suggestive....
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    over 2 years ago
				"
Hole in the Heart,"
			    My fiancée doesn't speak to her family any more because they don't tell the truth. She may have had a hole in her heart, as an infant, that may or may jot have resolved itself. Without access to her original medical records and without the ability to get an answer from her mother, is it possible to know if she ever did have a hole in her heart that resolved itself?
			","Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Concerns about moving to Denver,"
			    I had a heart attack and received a stent 10 years ago. I am on medication and living a normal life. I'm considering a move from the East Coast to Denver, CO. I am concerned about the risk of the higher altitude on my heart. How risky is moving to Denver?
			","Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Heart Failure and RSD/CRPS,"
			    My mother is 71 and has congestive heart failure. She is a life long smoker. When she was diagnosed with her heart condition 4 years ago she began treatment including medication and she cut back drastically on her smoking and had been on the verge of quitting altogether. She also suffers from severe osteoparosis which contributed to her suffering from 3 fractured discs in her spine . All of this leas to her developing RSD/CRPS which went misdiagnosed for several months - almost a year. She is now....
			",NA,"
				    				    over 2 years ago
				"
Sudden Cardiac Arrest,"
			    Hello, 25 y.o. male went into sudden cardiac arrest in October 2017. The hospital said it appeared I had myocarditis at some point (they're unsure of when), and it left scar tissue on my heart. This caused the SCA. It was so rare and unlikely that it shouldn't happen again. They put an ICD in me in case though. I was on lisinopril and metroprolol and was able to go back to normal life feeling fine. Four months later, my defibrillator went off as my heart went into v-tach again. (I'm not....
			",NA,"
				    				    over 2 years ago
				"
Heart attack?,"
			    I had an episode 3 days ago. I was sitting playing on my computer. Suddenly, I started sweating really bad. Beads of sweat rolling down my face. My chest began to hurt. So bad it felt heavy, full, tight, and like someone was crushing me/my ribs/lungs/heart in a vice. Then my jaw started aching and I my heart started beating so fast I felt like it was going to explode. I was in escrucshating pain. I couldn’t take a deep breath. I get very dizzy and forget what I was just asking or doing for an moment....
			","Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    over 2 years ago
				"
Chest Pain,"
			    I have this sharp pain under my left rib that gets worse if I breathe in but it comes on suddenly and only lasts for like a minute or two. I got an EKG done but it points more to right ventricular hypertrophy except I don’t have high blood pressure.
			",NA,"
				    				    over 2 years ago
				"
